
Learn time
Sample, mean, median, lower, upper
5%, 4207, 4249, 3562, 5100
15%, -1.1166447291666666, -0.239774, -13.210398, -0.189284, -0.2081211875, -0.2041645, -0.273338, -0.185882
20%, -0.2483368958333333, -0.219221, -0.715963, -0.180498, -0.20216758333333332, -0.2009805, -0.224421, -0.180775
25%, -0.2783002708333333, -0.20476899999999998, -1.736566, -0.172854, -0.19685910416666663, -0.194523, -0.250773, -0.177272
30%, -0.21361743749999995, -0.19725399999999998, -0.358306, -0.177795, -0.1972904166666666, -0.1971095, -0.218032, -0.18219
35%, -0.2593739375, -0.206398, -1.285392, -0.178633, -0.1993924791666666, -0.19512400000000002, -0.32359, -0.179113
40%, -0.2077453541666667, -0.1946495, -0.429814, -0.176999, -0.19456745833333342, -0.193069, -0.232441, -0.177795
45%, -0.31623281250000007, -0.195077, -2.726439, -0.177165, -0.1999895208333333, -0.194313, -0.317386, -0.177711
50%, -0.19262837499999996, -0.18930049999999998, -0.229654, -0.174147, -0.19223427083333333, -0.191277, -0.209744, -0.178217
55%, -0.1929961875, -0.19221149999999998, -0.219198, -0.174323, -0.19271670833333335, -0.191437, -0.209231, -0.176513
60%, -0.19284058333333332, -0.193238, -0.212361, -0.176946, -0.19263789583333332, -0.19173, -0.210555, -0.179405
65%, -0.1909485625, -0.188805, -0.207513, -0.177546, -0.19101781250000002, -0.1879925, -0.209637, -0.177398
70%, -0.18811175000000002, -0.1891645, -0.197893, -0.177972, -0.18874556250000002, -0.189695, -0.198011, -0.178014
75%, -0.1880356875, -0.19051200000000001, -0.199489, -0.173443, -0.18795468750000002, -0.1898995, -0.195408, -0.175715
80%, -0.18857418750000002, -0.188145, -0.20452, -0.179067, -0.18865887500000003, -0.1877725, -0.204611, -0.179872
85%, -0.1888284375, -0.185683, -0.203808, -0.176944, -0.18912887499999997, -0.18548399999999998, -0.204671, -0.177316
90%, -0.18578274999999997, -0.1887275, -0.197949, -0.173564, -0.18582956250000002, -0.188795, -0.198226, -0.173741
95%, -0.187229, -0.18821500000000002, -0.198173, -0.177077, -0.1873055, -0.188237, -0.198304, -0.177141
100%, -0.18541581249999997, -0.185662, -0.200972, -0.170441, -0.185416375, -0.18566149999999998, -0.200972, -0.170441
